127.0.0.1 - - [27/Feb/2018:14:55:24 -0400] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:33 -0400] "GET /Afrodita/ HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:36 -0400] "GET /Afrodita/xava/editors/calendar/skins/aqua/theme.css?ox=5.8 HTTP/1.1" 200 5595
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:36 -0400] "GET /Afrodita/naviox/style/naviox.css?ox=5.8 HTTP/1.1" 200 33970
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:36 -0400] "GET /Afrodita/xava/style/custom.css?ox=5.8 HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:36 -0400] "GET /Afrodita/xava/style/yahoo-treeview/treeview.css?ox=5.8 HTTP/1.1" 200 3874
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:36 -0400] "GET /Afrodita/xava/style/layout.css?ox=5.8 HTTP/1.1" 200 774
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:36 -0400] "GET /Afrodita/xava/style/materialdesignicons.css?ox=5.8 HTTP/1.1" 200 97683
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:36 -0400] "GET /Afrodita/xava/style/smoothness/jquery-ui.css?ox=5.8 HTTP/1.1" 200 35212
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:36 -0400] "GET /Afrodita/dwr/interface/Modules.js?ox=5.8 HTTP/1.1" 200 972
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:36 -0400] "GET /Afrodita/dwr/interface/Folders.js?ox=5.8 HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:36 -0400] "GET /Afrodita/xava/editors/style/discussionEditor.css?ox=5.8 HTTP/1.1" 200 2680
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:36 -0400] "GET /Afrodita/xava/editors/style/c3.css?ox=5.8 HTTP/1.1" 200 2003
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:37 -0400] "GET /Afrodita/dwr/util.js?ox=5.8 HTTP/1.1" 200 46702
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:37 -0400] "GET /Afrodita/xava/js/dwr-engine.js?ox=5.8 HTTP/1.1" 200 47370
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:37 -0400] "GET /Afrodita/dwr/interface/Module.js?ox=5.8 HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:37 -0400] "GET /Afrodita/dwr/interface/Tab.js?ox=5.8 HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:37 -0400] "GET /Afrodita/dwr/interface/View.js?ox=5.8 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:37 -0400] "GET /Afrodita/xava/js/openxava.js?ox=5.8 HTTP/1.1" 200 38328
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:37 -0400] "GET /Afrodita/xava/editors/calendar/calendar.js?ox=5.8 HTTP/1.1" 200 49465
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:37 -0400] "GET /Afrodita/xava/js/calendar.js?ox=5.8 HTTP/1.1" 200 4793
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:37 -0400] "GET /Afrodita/xava/editors/calendar/lang/calendar-es.js?ox=5.8 HTTP/1.1" 200 4047
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:37 -0400] "GET /Afrodita/xava/js/jquery.ui.touch-punch.js?ox=5.8 HTTP/1.1" 200 1291
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:37 -0400] "GET /Afrodita/xava/js/jquery.sorttable.js?ox=5.8 HTTP/1.1" 200 8889
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:37 -0400] "GET /Afrodita/xava/js/typewatch.js?ox=5.8 HTTP/1.1" 200 2283
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:37 -0400] "GET /Afrodita/xava/js/jquery-ui.js?ox=5.8 HTTP/1.1" 200 239564
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:37 -0400] "GET /Afrodita/m/SignIn HTTP/1.1" 200 13823
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:37 -0400] "GET /Afrodita/xava/js/jquery.js?ox=5.8 HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:37 -0400] "GET /Afrodita/xava/editors/js/autoNumeric.js?ox=5.8 HTTP/1.1" 200 19587
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:37 -0400] "GET /Afrodita/xava/editors/js/c3.js?ox=5.8 HTTP/1.1" 200 138210
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:37 -0400] "GET /Afrodita/xava/editors/js/chartDataEditor.js?ox=5.8 HTTP/1.1" 200 2279
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:38 -0400] "GET /Afrodita/xava/editors/js/descriptionsEditor.js?ox=5.8 HTTP/1.1" 200 2153
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:38 -0400] "GET /Afrodita/xava/editors/js/elementCollectionEditor.js?ox=5.8 HTTP/1.1" 200 2879
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:38 -0400] "GET /Afrodita/xava/editors/js/discussionEditor.js?ox=5.8 HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:38 -0400] "GET /Afrodita/xava/editors/js/d3.js?ox=5.8 HTTP/1.1" 200 151125
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:38 -0400] "GET /Afrodita/xava/editors/js/fusioncharts.charts.js?ox=5.8 HTTP/1.1" 200 128630
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:38 -0400] "GET /Afrodita/xava/editors/js/ckeditor.js?ox=5.8 HTTP/1.1" 200 565399
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:38 -0400] "GET /Afrodita/xava/editors/js/fusioncharts.theme.fint.js?ox=5.8 HTTP/1.1" 200 5718
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:38 -0400] "GET /Afrodita/xava/editors/js/htmlEditor.js?ox=5.8 HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:38 -0400] "GET /Afrodita/xava/editors/js/fusioncharts.widgets.js?ox=5.8 HTTP/1.1" 200 241501
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:38 -0400] "GET /Afrodita/xava/editors/js/jquery-ckeditor-adapter.js?ox=5.8 HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:38 -0400] "GET /Afrodita/xava/editors/js/textEditor.js?ox=5.8 HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:39 -0400] "GET /Afrodita/xava/editors/js/fusioncharts.js?ox=5.8 HTTP/1.1" 200 1007816
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:39 -0400] "GET /Afrodita/naviox/images/corner.png HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:39 -0400] "GET /Afrodita/naviox/images/processing.gif HTTP/1.1" 200 13478
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:39 -0400] "GET /Afrodita/xava/editors/js/yahoo-treeview-min.js?ox=5.8 HTTP/1.1" 200 34313
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:39 -0400] "GET /Afrodita/xava/editors/js/yahoo-dom-event.js?ox=5.8 HTTP/1.1" 200 36989
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:39 -0400] "GET /Afrodita/naviox/images/point3.png HTTP/1.1" 200 2035
0:0:0:0:0:0:0:1 - - [27/Feb/2018:14:55:39 -0400] "GET /Afrodita/naviox/images/loading.gif HTTP/1.1" 200 1553
